Prompt;Response;Ground Truth
"Jens Stoltenberg
Jens Stoltenberg( born 16 March 1959) is a Norwegian politician who has been serving as the 13th Secretary General of NATO since 2014. A member of the Labour Party, he was Prime Minister of Norway from 2000 to 2001 and from 2005 to 2013. In 2011, Stoltenberg received the United Nations Foundation's Champion of Global Change Award, chosen for his extraordinary effort toward meeting the Millennium Development Goals and bringing fresh ideas to global problems. The mission of Jens Stoltenberg as secretary general of the North Atlantic Treaty Organization( NATO) was extended for another two years. Stoltenberg has been responsible for the past five years and is set to lead NATO until 2022.

Where does Karin Stoltenberg's husband work at?";NATO;United Nations
"Il était une fois l’indépendance
Il était une fois l’indépendance is a 2009 Malian film.

Where was the director of film Lettre Ouverte born?";Bamako, Mali.;Paris
"Baldwin V, Count of Flanders
Baldwin V of Flanders( c. 1012 – 1 September 1067) was Count of Flanders from 1035 until his death. He was the son of Baldwin IV, Count of Flanders, who died in 1035.

Who is William Ii, Count Of Flanders's paternal grandmother?";Adela of Vermandois.;Mathilde of Bourbon
"Clara Novello Davies
Clara Novello Davies (7 April 1861 – 7 February 1943) was a well-known Welsh singer, teacher and conductor.

What is the place of birth of Clara Novello's father?";Wales;London
"Jodhaa Akbar
Filmfare Best Background Score -- A.R. Rahman Filmfare Best Lyricist Award -- Javed Akthar Star Screen Award for Best Background Music -- A.R. Rahman Star Screen Award for Best Choreographer -- Raju Khan for ``Khwaja Mere Khwaja ''IIFA Best Music Director Award -- A.R. Rahman IIFA Best Lyricist Award -- Javed Akthar IIFA Best Male Playback Award -- Javed Ali for`` Jashn - e-Bahara'' IIFA Best Background Score -- A.R. Rahman V Shantaram Award for Best Music -- A.R. Rahman

Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?";''Indira Vizha'';Emmy Of Stork'S Nest
"Céline (1992 film)
Céline is a 1992 French drama film directed by Jean-Claude Brisseau. It was entered into the 42nd Berlin International Film Festival.

Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?";Céline: Through The Eyes Of The World came out first.;Celine: Through The Eyes Of The World
"List of Superman creators
Jerry Siegel and Joe Shuster created Superman, there are other contributors to Superman.

Who was born earlier, Silas Hardy or Lee Mantle?";Silas Hardy.;Lee Mantle
"Cemetery Dahlem
The Cemetery Dahlem( sometimes improperly referred to as"" Friedhof Dahlem- Dorf"") is a cemetery in Berlin- Dahlem. The cemetery was built according to the plans of the architects Friedrich and Wilhelm Hennigs.

Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?";Cemetery Dahlem.;Königsberg
"? (Bersuit album)
? is the ninth album by the Argentine rock band Bersuit Vergarabat. It was recorded from July to October 2007, and was released on 18 December 2007 by Pussyfoot Records.

Where was the place of death of Juan Carlos Gumucio's wife?";Madrid, Spain.;Homs
"The Resistance (film)
The Resistance is a Chinese martial arts action film set during World War II, directed by Peng Zhang Li. The Resistance is inspired by the beginning of the Japanese invasion of China where over 300,000 people in the capital of Nanjing were massacred. The movie mixes an epic tale of revenge with elements of martial art, ninja, adventure, and war movies.

Who is the father of the director of film Gramps Is In The Resistance?";Gramps Is In The Resistance was directed by Peng Zhang Li.;Alain Poiré
"Can You Celebrate?
""Can You Celebrate?"" is Namie Amuro's seventh solo single under the Avex Trax label. Released on February 19, 1997, ""Can You Celebrate"" is the best-selling single by a solo female artist in Japanese music history, with sales of 2,296,200 copies.

What is the place of birth of the performer of song Heaven (Namie Amuro Song)?";Naha, Okinawa, Japan.;Naha, Okinawa
"Philip of Ibelin (died 1318)
Philip of Ibelin( born c. 1255; died 25 November 1318, Nicosia) was Seneschal of the Kingdom of Cyprus. As one of the sons of Philippa Barlais and her husband Guy of Ibelin, he was a member of the house of Ibelin. He married to: 1. c. 1280 Maria, daughter of Vahran of Hamousse by Mary of Ibelin, without issue; 2. c. 1295 Maria Embriaco of Gibelletto( d. 1331)

What nationality is Philip Of Ibelin (1180–1227)'s mother?";French.;Byzantine
"Joseph Magliocco
Joseph Magliocco( born Giuseppe Magliocco;; June 29, 1898 – December 28, 1963), also known as"" Joe Malayak"" and"" Joe Evil Eye"", was an Italian- born New York mobster and the boss of the Profaci crime family( later to become the Colombo crime family) from 1962 to 1963. Magliocco participated in an audacious unsuccessful attempt to kill other family bosses and take over the Mafia Commission.

Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?";Viktoriya Zeynep Güneş;Viktoriya Zeynep Güneş
"List of Guns N' Roses members
Image Name Years active Instruments Release contributions Axl Rose 1985 -- present vocals piano keyboards synthesizers percussion all Guns N 'Roses releases Duff McKagan 1985 -- 1997 2016 -- present bass backing vocals all Guns N' Roses releases from Live?! * @ Like a Suicide (1986) to Sympathy For The Devil (1994) Live Era '87 --' 93 (1999) Slash 1985 -- 1996 2016 -- present lead and rhythm guitar Dizzy Reed 1990 -- present keyboards synthesizers piano backing vocals percussion all Guns N 'Roses releases from Civil War (1990) and Knockin' On Heavens Door (Days of Thunder version) (1990) to present Richard Fortus 2002 -- present rhythm and lead guitar backing vocals Chinese Democracy (2008) Appetite for Democracy 3D (2014) Frank Ferrer 2006 -- present drums percussion Melissa Reese 2016 -- present keyboards synthesizers backing vocals percussion sub-bass programming none

When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?";April 14;August 8, 1975
"Good Morning Karachi
It is the story of a young girl, Rafina, (Amna Ilyas) who chases her dream to become a renowned model.

Where does Huma Abedin's husband work at?";Anthony Weiner, Huma Abedin's husband, worked in politics as a U.S. Representative from New York.;Chuck Schumer
"The Mexican
The Mexican is a 2001 American comedy film directed by Gore Verbinski and starring Brad Pitt and Julia Roberts. It s plot is a mixture of different genres.

Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?";Yes.;no
"Rainy Dog
This movie is the second part of the"" Black Society"" trilogy.

Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?";Out Of The Rain.;Les Résultats Du Féminisme
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Where did Giacomo Feo's wife die?";Venice;Florence
"Cinema of Lithuania
The birth of Cinema of Lithuania dates back to 1909.

What is the place of birth of the director of film Swedenhielms?";Gothenburg, Sweden.;Helsingfors
"Johannes Van Rensselaer
Johannes Van Rensselaer( January 3, 1708 – February 21, 1783) was a member of the prominent colonial Van Rensselaer family.

Which country Jan Baptist Van Rensselaer's father is from?";Netherlands.;Dutch
"Round Table (disambiguation)
The Round Table is the legendary gathering place of King Arthur's knights in the Arthurian legend. Round Table or roundtable may also refer to:

Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?";Kids Of The Round Table.;Kids Of The Round Table
"Courteney Cox
Between seasons five and six, Cox married David Arquette, and changed her name to Courteney Cox Arquette. An in - joke reference to this is made in the beginning credits of the episode ``The One After Vegas '', where the rest of the cast has`` Arquette'' added to their names. The dedication ``For Courteney and David, who did get married ''-- a reference to Monica and Chandler's decision not to marry in the episode -- appears during the fade out to the tag scene.

Where did Gigi Causey's husband graduate from?";Princeton;Tisch
"Queen Mojong
Queen Mojong was a wife of Geodeung of Geumgwan Gaya, the second king of Gaya confederacy. She gave birth of the third king, Mapum of Geumgwan Gaya. She was a daughter of Sin Po who was attendant of Heo Hwang- ok for her marriage from India. In"" Hwarang Segi"", she was recorded as Sin Po ’s daughter, but in"" Samgungnyusa"", she was recorded as Sin Po ’s wife.

What nationality is Geodeung Of Geumgwan Gaya's mother?";Indian;India
"Ultraman X The Movie
The main catchphrase in this movie is.

Which film was released earlier, Xenoa or Divorce Invitation?";"""Live and Let Live"".
Xenoa.";Xenoa
"Marc Andreessen
Marc Lowell Andreessen ( ; born July 9, 1971) is an American entrepreneur, investor, and software engineer. He is the co-author of Mosaic, the first widely used Web browser; co-founder of Netscape; and co-founder and general partner of Silicon Valley venture capital firm Andreessen Horowitz. He founded and later sold the software company Opsware to Hewlett-Packard. Andreessen is also a co-founder of Ning, a company that provides a platform for social networking websites. He sits on the board of directors of Facebook, eBay, and Hewlett Packard Enterprise, among others. Andreessen was one of six inductees in the World Wide Web Hall of Fame announced at the First International Conference on the World-Wide Web in 1994..

What is the cause of death of Alex Matthiessen's father?";Suicide;leukemia
"Flavius of Rouen
Saint Flavius of Rouen, also known as Saint Filleul or Saint Flieu, was a 6th- century bishop of Rouen, the 16th in the usual sequence.

What is the place of birth of Remigius Of Rouen's father?";Bayeux.;Herstal
"John Crichton-Stuart, 5th Marquess of Bute
John Crichton- Stuart, 5th Marquess of Bute( 4 August 1907 – 14 August 1956) was the son of John Crichton- Stuart, 4th Marquess of Bute and Augusta Bellingham.

When did Lord Patrick Crichton-Stuart's father die?";John Crichton-Stuart, 4th Marquess of Bute died in 1947.;22 January 1794
"Ron Howard
Howard first came to prominence playing young Opie Taylor in the sitcom The Andy Griffith Show for eight years and later playing teenager Richie Cunningham in the sitcom Happy Days for seven years. He appeared in the musical film The Music Man (1962), the comedy film The Courtship of Eddie's Father (1963), the coming of age film American Graffiti (1973), the western film The Shootist (1976), and the comedy film Grand Theft Auto (1977), which he also directed.

Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?";It'S A Joke, Son!;It'S A Joke, Son!
